iter	Passed	Remaining
0	138	138150
1	139	69756
2	141	46929
3	142	35530
4	144	28691
5	146	24207
6	147	20945
7	149	18491
8	150	16600
9	152	15074
10	153	13816
11	155	12779
12	156	11898
13	158	11137
14	159	10482
15	161	9921
16	162	9411
17	164	8959
18	165	8553
19	167	8193
20	168	7864
21	170	7561
22	171	7288
23	173	7036
24	174	6807
25	176	6602
26	177	6407
27	179	6225
28	180	6055
29	182	5896
30	183	5745
31	185	5604
32	186	5472
33	188	5346
34	189	5236
35	191	5126
36	192	5021
37	194	4923
38	195	4828
39	197	4737
40	198	4649
41	200	4567
42	201	4490
43	203	4414
44	204	4349
45	206	4282
46	207	4216
47	209	4153
48	210	4091
49	212	4032
50	213	3975
51	215	3922
52	216	3870
53	218	3820
54	219	3773
55	221	3729
56	222	3683
57	224	3640
58	225	3597
59	227	3557
60	228	3518
61	230	3480
62	231	3443
63	232	3407
64	234	3375
65	236	3343
66	237	3310
67	238	3268
68	239	3237
69	241	3206
70	242	3176
71	244	3148
72	245	3120
73	247	3092
74	248	3066
75	250	3044
76	251	3020
77	253	2996
78	254	2972
79	256	2948
80	257	2923
81	259	2901
82	260	2878
83	261	2856
84	262	2830
85	264	2810
86	265	2787
87	267	2768
88	268	2749
89	270	2730
90	271	2711
91	272	2693
92	274	2675
93	275	2658
94	277	2641
95	278	2624
96	280	2610
97	281	2593
98	283	2578
99	284	2563
100	286	2548
101	287	2527
102	288	2512
103	289	2497
104	291	2482
105	292	2468
106	294	2456
107	295	2444
108	297	2431
109	298	2418
110	300	2405
111	301	2392
112	303	2380
113	304	2367
114	306	2355
115	307	2341
116	309	2338
117	312	2332
118	313	2323
119	315	2312
120	316	2301
121	318	2291
122	319	2275
123	320	2265
124	322	2254
125	323	2244
126	325	2235
127	326	2222
128	327	2211
129	329	2201
130	330	2191
131	331	2182
132	333	2173
133	334	2163
134	336	2154
135	337	2145
136	339	2138
137	340	2129
138	342	2121
139	343	2112
140	345	2103
141	346	2095
142	348	2086
143	349	2078
144	351	2070
145	352	2062
146	354	2054
147	355	2047
148	357	2040
149	358	2032
150	360	2024
151	361	2016
152	362	2009
153	364	2002
154	366	1995
155	367	1988
156	369	1982
157	370	1976
158	372	1969
159	373	1962
160	375	1955
161	376	1948
162	378	1941
163	379	1934
164	380	1928
165	382	1921
166	383	1915
167	385	1910
168	387	1903
169	388	1897
170	390	1891
171	391	1885
172	393	1878
173	394	1872
174	395	1866
175	397	1860
176	399	1855
177	400	1850
178	402	1843
179	403	1837
180	404	1828
181	405	1823
182	407	1817
183	408	1811
184	409	1806
185	411	1800
186	412	1794
187	414	1791
188	416	1785
189	417	1780
190	419	1774
191	420	1769
192	421	1763
193	423	1758
194	424	1753
195	426	1747
196	427	1742
197	428	1737
198	430	1732
199	432	1728
200	433	1722
201	434	1717
202	436	1712
203	437	1707
204	439	1705
205	441	1700
206	443	1697
207	444	1693
208	446	1688
209	447	1684
210	449	1679
211	450	1674
212	451	1669
213	453	1665
214	454	1660
215	456	1656
216	457	1651
217	459	1648
218	460	1643
219	462	1639
220	463	1634
221	465	1630
222	466	1625
223	467	1621
224	469	1616
225	470	1612
226	472	1607
227	473	1603
228	475	1600
229	476	1595
230	478	1591
231	479	1587
232	480	1583
233	482	1579
234	483	1575
235	485	1570
236	486	1566
237	488	1562
238	489	1559
239	491	1554
240	492	1550
241	493	1546
242	495	1542
243	496	1538
244	497	1534
245	499	1530
246	500	1526
247	502	1522
248	503	1519
249	505	1516
250	506	1512
251	508	1508
252	509	1504
253	511	1500
254	512	1497
255	513	1493
256	515	1489
257	516	1486
258	518	1482
259	520	1480
260	521	1476
261	522	1472
262	524	1469
263	525	1466
264	527	1463
265	529	1460
266	530	1457
267	532	1454
268	533	1450
269	535	1447
270	536	1443
271	538	1440
272	539	1436
273	540	1433
274	542	1429
275	543	1426
276	545	1423
277	546	1420
278	548	1417
279	549	1414
280	551	1411
281	552	1407
282	554	1404
283	555	1401
284	557	1398
285	558	1394
286	560	1391
287	561	1388
288	563	1386
289	564	1383
290	566	1379
291	567	1376
292	569	1373
293	570	1370
294	572	1367
295	573	1364
296	575	1361
297	576	1358
298	578	1355
299	579	1352
300	580	1349
301	582	1346
302	583	1343
303	585	1340
304	586	1337
305	588	1334
306	589	1331
307	591	1328
308	592	1325
309	594	1322
310	595	1319
311	597	1316
312	598	1313
313	600	1311
314	601	1308
315	602	1305
316	604	1302
317	605	1299
318	607	1296
319	608	1294
320	610	1291
321	611	1288
322	613	1285
323	614	1282
324	616	1279
325	617	1276
326	618	1273
327	620	1271
328	622	1269
329	623	1266
330	625	1263
331	626	1260
332	627	1257
333	629	1254
334	630	1252
335	632	1249
336	633	1247
337	635	1244
338	637	1242
339	638	1240
340	640	1237
341	641	1234
342	643	1232
343	644	1229
344	646	1226
345	647	1223
346	648	1221
347	650	1218
348	652	1216
349	653	1213
350	654	1210
351	656	1208
352	657	1205
353	659	1202
354	660	1200
355	661	1197
356	663	1194
357	665	1192
358	667	1191
359	668	1189
360	670	1186
361	671	1184
362	673	1181
363	674	1178
364	675	1176
365	677	1173
366	679	1171
