iter	Passed	Remaining
0	159	159073
1	160	80207
2	162	53981
3	164	40957
4	165	33031
5	167	27727
6	168	23928
7	170	21104
8	171	18902
9	173	17143
10	174	15701
11	177	14603
12	178	13584
13	180	12710
14	182	11951
15	183	11282
16	184	10691
17	186	10170
18	187	9706
19	189	9290
20	191	8917
21	192	8574
22	194	8254
23	195	7960
24	197	7691
25	198	7442
26	200	7211
27	201	6997
28	203	6829
29	206	6668
30	207	6499
31	209	6344
32	211	6199
33	213	6055
34	214	5917
35	216	5787
36	218	5681
37	220	5571
38	221	5468
39	223	5370
40	225	5269
41	226	5172
42	228	5080
43	229	4992
44	231	4918
45	233	4843
46	235	4765
47	236	4690
48	238	4619
49	239	4550
50	241	4484
51	242	4420
52	243	4357
53	246	4318
54	248	4263
55	249	4209
56	251	4155
57	252	4103
58	254	4053
59	255	4004
60	257	3956
61	258	3911
62	260	3870
63	262	3834
64	263	3793
65	265	3754
66	266	3715
67	268	3676
68	269	3639
69	271	3602
70	272	3568
71	274	3536
72	276	3508
73	277	3475
74	279	3442
75	280	3411
76	282	3381
77	283	3353
78	285	3327
79	287	3303
80	290	3295
81	292	3271
82	293	3239
83	295	3219
84	296	3196
85	298	3173
86	301	3164
87	305	3168
88	310	3173
89	311	3151
90	313	3132
91	315	3114
92	317	3096
93	320	3086
94	321	3067
95	323	3044
96	324	3023
97	326	3004
98	328	2988
99	329	2969
100	331	2950
101	332	2931
102	335	2923
103	337	2910
104	339	2893
105	341	2876
106	342	2859
107	346	2864
108	349	2859
109	353	2860
110	355	2843
111	356	2827
112	358	2811
113	360	2798
114	362	2791
115	367	2797
116	369	2789
117	371	2779
118	373	2763
119	376	2762
120	378	2752
121	381	2746
122	383	2734
123	385	2723
124	388	2720
125	391	2713
126	393	2703
127	395	2692
128	397	2683
129	399	2670
130	400	2657
131	402	2647
132	404	2636
133	406	2625
134	408	2619
135	410	2610
136	412	2601
137	414	2589
138	416	2577
139	432	2659
140	434	2649
141	436	2634
142	444	2663
143	447	2657
144	448	2647
145	450	2637
146	453	2631
147	457	2634
148	459	2625
149	463	2628
150	466	2622
151	471	2632
152	489	2708
153	491	2698
154	493	2688
155	498	2696
156	502	2697
157	504	2688
158	506	2681
159	509	2672
160	510	2659
161	512	2650
162	516	2654
163	519	2646
164	521	2637
165	523	2628
166	548	2734
167	551	2729
168	552	2718
169	554	2709
170	557	2702
171	575	2770
172	579	2768
173	582	2763
174	583	2752
175	585	2742
176	587	2730
177	588	2718
178	590	2706
179	591	2694
180	593	2683
181	598	2687
182	600	2678
183	601	2669
184	603	2660
185	605	2651
186	608	2644
187	610	2637
188	612	2629
189	615	2623
190	617	2617
191	620	2609
192	622	2601
193	624	2592
194	626	2585
195	627	2574
196	629	2564
197	630	2554
198	632	2544
199	633	2533
200	634	2522
201	635	2511
202	638	2507
203	640	2499
204	642	2489
205	643	2480
206	644	2470
207	646	2460
208	647	2450
209	649	2441
210	650	2431
211	652	2425
212	654	2418
213	656	2410
214	657	2401
215	659	2392
216	660	2383
217	661	2373
218	662	2364
219	664	2354
220	665	2345
221	667	2340
222	669	2332
223	670	2323
224	671	2314
225	673	2305
226	674	2296
227	675	2287
228	676	2279
229	678	2270
230	679	2261
231	680	2253
232	682	2247
233	684	2239
234	685	2231
235	686	2223
236	688	2214
237	689	2206
238	690	2198
239	691	2190
240	692	2181
241	694	2174
242	695	2166
243	697	2159
244	698	2153
245	700	2147
246	701	2139
247	702	2131
248	704	2124
249	705	2116
250	706	2108
251	707	2101
252	709	2093
253	710	2086
254	712	2080
255	713	2074
256	715	2067
257	716	2060
258	717	2053
259	718	2046
260	720	2039
261	721	2032
262	722	2025
263	724	2018
264	725	2011
265	727	2006
266	728	2000
267	729	1993
268	731	1986
269	732	1980
270	733	1973
271	734	1966
272	736	1960
273	737	1953
274	738	1947
275	739	1940
276	741	1935
277	743	1930
278	744	1923
279	745	1917
280	747	1911
281	748	1905
282	749	1899
283	750	1892
284	752	1886
285	753	1880
286	754	1874
287	756	1869
288	757	1864
289	759	1859
290	760	1853
291	762	1848
292	764	1843
293	765	1838
294	767	1833
295	768	1827
296	769	1821
297	771	1818
298	773	1813
299	774	1807
300	776	1802
301	777	1796
302	778	1790
303	779	1785
304	780	1779
305	782	1774
306	783	1768
307	784	1763
308	786	1759
309	788	1754
310	789	1749
311	791	1744
312	792	1739
313	793	1733
314	794	1728
315	796	1723
316	797	1718
317	798	1712
318	799	1707
319	801	1703
320	803	1698
321	804	1694
322	805	1689
323	807	1684
324	809	1680
325	810	1676
326	812	1671
327	813	1666
328	814	1661
329	816	1657
330	818	1653
331	819	1649
332	820	1644
333	822	1639
334	823	1634
335	824	1629
336	825	1624
337	827	1619
338	828	1615
339	829	1610
340	831	1606
341	832	1602
342	834	1598
343	835	1593
344	836	1588
345	838	1584
346	839	1579
347	840	1575
348	841	1570
349	843	1565
350	844	1561
351	845	1556
352	847	1553
353	848	1549
354	850	1545
355	851	1541
356	853	1537
357	855	1533
358	856	1529
359	857	1525
360	859	1520
361	860	1516
362	862	1513
363	864	1509
364	865	1505
365	866	1501
366	867	1497
367	869	1492
368	870	1488
369	871	1484
370	872	1479
371	874	1475
372	875	1471
373	877	1468
374	878	1464
375	880	1461
376	881	1457
377	883	1453
378	884	1449
379	885	1444
380	886	1440
381	888	1436
382	889	1432
383	890	1429
384	892	1425
385	894	1422
386	895	1418
387	896	1414
388	897	1410
389	899	1406
390	900	1402
391	901	1398
392	903	1394
393	904	1390
394	906	1387
395	907	1384
396	908	1380
397	910	1376
398	911	1372
399	912	1369
400	913	1365
401	915	1361
402	916	1357
403	917	1353
404	919	1350
405	920	1346
406	922	1343
407	923	1340
408	924	1336
409	926	1332
410	927	1328
411	928	1325
412	929	1321
413	931	1317
414	932	1314
415	934	1311
416	936	1309
417	938	1306
418	939	1303
419	941	1299
420	942	1296
421	944	1293
422	946	1290
423	947	1286
424	948	1283
425	950	1280
426	952	1277
427	953	1274
428	954	1270
429	956	1267
430	957	1263
431	958	1260
432	959	1257
433	961	1253
434	962	1250
435	963	1246
436	965	1243
437	967	1240
438	968	1237
439	969	1233
440	970	1230
441	971	1227
442	973	1223
443	974	1220
444	975	1217
445	977	1214
446	979	1211
447	982	1210
448	985	1209
449	986	1206
450	988	1203
451	990	1200
452	991	1197
453	993	1194
454	994	1191
455	996	1189
456	998	1185
457	999	1182
458	1000	1179
459	1001	1176
